word,id_list
清理,[1440589]
深邃,[1084336]
肯达,[1401840]
偷袭,[1440589]
这颗,[1020959]
浪漫主,[1073708]
镇,"[1047138, 1051440, 1193821, 1205370, 1212894, 1786670, 3124525, 3442373]"
野蛮,[1024197]
荣耀,[3646172]
1039487,[1039487]
可得食,[3162527]
中连载,[3598313]
风浪,[1263399]
人大作战,[2070012]
偶尔有,[1024854]
一场空,[2214350]
碰撞,[1027191]
规矩,[1916726]
专题,[1003479]
长五,[1440589]
高龄,[1023045]
护妻,[1068308]
见拙,[1440589]
言说,[1056461]
替换,[1436348]
潘与,[1001136]
切纸,[1322066]
艾丽斯西伯德,[1026317]
俱乐部,[2081876]
阿修羅,[1004956]
上游,[1212893]
谬,"[1049522, 1082406, 1132956, 1441707, 1794844, 2271582]"
随处,[1143694]
失魂魄,[2159042]
这列火,[1731370]
爸爸,[1087758]
回答,[3608170]
队伍,[1440589]
下书,[1014578]
提高,[1205370]
中国现代名剧,[1013416]
李寻欢,[1422833]
六腑,[1440885]
鹦鹉,[1084336]
男友,[1065970]
哪知,[2149655]
记起,[1819974]
知多少,[1016300]
沉沉,[1938591]
隐山林,[1822793]
杀人犯,[1731370]
翻动,[1336330]
成性,[1082154]
太空船,[1070441]
蠢蠢,[1418999]
山岛,[1084973]
大黑,[1291809]
护国运动,[1000280]
作家除,[2160226]
和畅,[1868896]
疑心病,[1394364]
伎俩,[1205370]
2008-5,"[3043491, 3053207, 3066477, 3071717, 3080607, 3088496]"
蜡,"[1916726, 1938591, 1946666]"
忠,"[1001193, 1002898, 1012637, 1047719, 1064275, 1079252, 1270508, 1324985, 2377012]"
演绎出,[1011662]
蛮族,[1431779]
你們我們他們,[1368256]
号,"[1003078, 1007433, 1012747, 1013129, 1016003, 1018153, 1029553, 1084336, 1084973, 1085470, 1085860, 1228110, 1329959, 1364773, 1432596, 1440589, 1448761, 1822793, 1863930, 2082194, 2149655, 2295163, 3140801, 3369600, 3615061, 4159088, 4171951, 4242172, 4885241, 5385852]"
35.00,[1970428]
一反,[1028409]
